"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"13578","1585469327.825378888","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13580","1585469327.825480493","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13581","1585469327.893673396","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13583","1585469327.893805020","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13591","1585469327.965879063","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13593","1585469328.034519168","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13595","1585469328.034628332","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363543"
"13596","1585469328.103115992","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13598","1585469328.103220470","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13599","1585469328.171924760","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13601","1585469328.172035756","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13609","1585469328.253068492","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13610","1585469328.320266257","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13612","1585469328.320366687","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363643"
"13613","1585469328.387840398","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13615","1585469328.387967673","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13616","1585469328.455660246","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13623","1585469328.527235701","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13624","1585469328.595007863","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13626","1585469328.595180214","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363743"
"13627","1585469328.663454860","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13629","1585469328.663554898","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13630","1585469328.731681897","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13632","1585469328.731767404","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13642","1585469328.804557384","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13645","1585469328.872712651","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13647","1585469328.872817832","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363843"
"13648","1585469328.940946090","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13650","1585469328.941057278","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13652","1585469329.010117570","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13654","1585469329.010215506","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13662","1585469330.114020074","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13663","1585469330.183264231","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13665","1585469330.183370335","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363943"
"13666","1585469330.252634043","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13668","1585469330.252712041","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13670","1585469330.322001522","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13677","1585469330.393377382","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13678","1585469330.461404136","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13680","1585469330.461513088","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37373043"
"13682","1585469330.529843577","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13684","1585469330.529927760","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13687","1585469330.598248100","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13689","1585469330.598422810","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13699","1585469330.671038990","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13700","1585469330.739867820","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13702","1585469330.739969691","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37373143"
"13704","1585469330.809405063","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13706","1585469330.809481181","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13707","1585469330.878934560","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13709","1585469330.879041173","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13717","1585469330.953873616","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13719","1585469331.022001714","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13721","1585469331.022102203","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37373243"
"13722","1585469331.090653736","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13724","1585469331.090751167","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13725","1585469331.158691722","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13727","1585469331.158859743","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13735","1585469331.231132692","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13737","1585469331.299403621","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13739","1585469331.299562262","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37373343"
"13740","1585469331.368603784","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13742","1585469331.368722009","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13743","1585469331.437639018","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13745","1585469331.437731737","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13753","1585469331.509400880","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13755","1585469331.577830845","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13757","1585469331.577931682","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37373443"
"13758","1585469331.646185185","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13760","1585469331.646326095","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13761","1585469331.714204543","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13763","1585469331.714298836","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13771","1585469332.059768795","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13772","1585469332.128412475","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13774","1585469332.128535319","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37373543"
"13775","1585469332.196775400","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13777","1585469332.196879856","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13778","1585469332.264888996","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13780","1585469332.264996888","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13788","1585469332.345108098","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13789","1585469332.415129359","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13791","1585469332.415225951","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37373643"
"13792","1585469332.484518596","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13794","1585469332.763787703","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13796","1585469332.836318619","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13798","1585469332.836410727","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13806","1585469332.916641577","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13807","1585469332.984906388","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13809","1585469332.985020894","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37373743"
"13811","1585469333.053195969","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13813","1585469333.053292689","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
